ticket,open_time,direction,open_price,sl,sl_pips,tp,tp_pips,close_price,close_reason,profit,mfe_points,mae_points
1574069709,2026-04-07T17:35:49,SELL,4622.55,0.0,46225.5,0.0,46225.5,4610.08,Expert Advisor,12.47,,
1574277298,2026-04-07T19:49:30,BUY,4655.59,0.0,46555.9,0.0,46555.9,4648.79,Expert Advisor,-6.8,,
1574914613,2026-04-08T02:46:06,BUY,4701.6,0.0,47016.0,0.0,47016.0,4699.17,Stop Loss,-2.43,,
1580301839,2026-04-08T10:41:44.589240,SELL,4785.69,4800.0,143.1,4755.0,306.9,4793.51,Expert Advisor,-7.82,,
1580558580,2026-04-08T12:38:12.041573,BUY,4794.04,4785.0,90.4,4842.0,479.6,4795.96,Stop Loss,3.14,,
1580068886,2026-04-08T14:26:19,SELL,4805.61,0.0,48056.1,0.0,48056.1,4805.74,Stop Loss,-0.13,,
1581152281,2026-04-08T16:28:58.884570,SELL,4750.43,4760.0,95.7,4720.0,304.3,4760.02,Stop Loss,-19.26,,
1581152264,2026-04-08T16:29:04.112552,SELL,4750.57,4762.0,114.3,4735.0,155.7,4759.78,Expert Advisor,-18.4,,
1580436648,2026-04-08T17:02:37,SELL,4794.8,0.0,47948.0,0.0,47948.0,4801.59,Expert Advisor,-6.79,,
1580802709,2026-04-08T19:08:44,BUY,4788.58,0.0,47885.8,0.0,47885.8,4784.11,Stop Loss,-8.94,,
1581494509,2026-04-08T19:09:15.217833,BUY,4707.32,4688.0,193.2,4731.0,236.8,4712.92,Expert Advisor,5.61,,
1581551960,2026-04-08T19:41:57.337805,BUY,4721.99,4715.0,69.9,4747.0,250.1,4721.97,Stop Loss,-0.1,,
1577278887,2026-04-08T20:36:18,BUY,4671.18,0.0,46711.8,0.0,46711.8,4663.11,Stop Loss,-8.07,,
1577364623,2026-04-08T20:56:55,BUY,4667.72,0.0,46677.2,0.0,46677.2,4660.01,Expert Advisor,-7.71,,
